,source_id,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
67,685154039421366400,136.7559722265315,21.370985838670403,-5.67303824751881,-11.923312444891131,1,0,21.672399520874,19.9367008209229,-58.20094216063785,0.5978779675932475,-7.841096149315033,1.4625505305351527
68,685265468051295360,137.12689732212286,21.70395814449659,-3.19032471304587,-11.33769914099752,1,0,17.1963996887207,16.5986003875732,-57.73576707366391,0.4814970070797391,-6.005020202417182,-0.36671015331419476
69,685520696483531904,135.3824980102512,22.373196924678396,-6.588088974206103,-13.203433873349915,1,0,18.5912990570068,17.9104995727539,-58.016553480602454,2.2087799601306246,-9.415685841038272,1.7595116093744618
70,685227642275283456,136.73223461696193,21.721454425170514,-3.1743120894449914,-11.991560469969766,1,0,13.9925003051758,13.16100025177,-57.9150497261021,0.8018228140140317,-6.567340446919016,-0.6842177390971927
71,685455687858676992,136.1048369225447,22.141659188092763,-4.47647815485408,-13.593885917527771,1,0,19.3987007141113,18.7141990661621,-57.864300064378085,1.5178613156261433,-8.627443433693136,-0.3394780451443642
72,685353051024214784,136.71499623234575,22.216171550950847,-5.086948422523135,-11.410532868040459,1,0,20.4995994567871,19.4197006225586,-57.503380072615016,1.0767311046760144,-7.068157014642183,1.259863594818061
73,685274298504548480,136.7745347406881,21.71662097177373,-3.4444936073040604,-11.535424383467367,1,0,21.3425006866455,20.180700302124,-57.89838458617959,0.7659068126513932,-6.321277096250582,-0.2184278809353854
74,685449773687262592,135.83228474520024,22.0462393077441,-4.28642154999676,-12.114028197406983,1,0,19.7488994598389,18.5079002380371,-58.07801033717493,1.6829190140264492,-7.28140615158419,0.3037427505027882
75,685509387833480064,135.95140052757554,22.34336353460655,-5.597652016066423,-11.473063489800778,1,0,20.7078990936279,19.9176006317139,-57.766990297660186,1.7445605782302913,-7.408005728846387,1.750170286176725
76,685307803545022592,137.343305393299,22.063098867886783,-3.570239883233935,-13.331817066864048,1,0,14.7934999465942,14.2132997512817,-57.32479511267155,0.5020589078658397,-7.874858580958883,-1.1197531337122244
77,636819164664802688,138.02444442328337,20.54461814291866,-6.156040133629281,-11.908604782977605,1,0,21.5785007476807,19.0990009307861,-58.27064603513048,-0.8447425947072896,-8.077919283236348,1.7143341084391046
78,637043293238360832,137.55084892258105,20.905139963966494,-4.1496458577622874,-13.74509609231192,1,0,20.6606006622314,20.0811996459961,-58.20236366736691,-0.27771785969184704,-8.563651710819375,-0.8991467967829213
79,636973611688899200,138.43935332328581,21.17175871841615,-4.904625065917481,-11.97766096148825,1,0,20.9731006622314,19.7903995513916,-57.533312473409296,-0.8355688406537731,-7.429815175315997,0.5864251400333175
80,636969080498563456,138.520166779718,21.073636214853643,-4.687885189546721,-12.410097235292778,1,0,17.8803997039795,17.3929996490479,-57.57550412901128,-0.9518917491018927,-7.678302368146537,0.1598815944712669
81,637016045965993600,137.61161266579333,20.593384663485544,-5.342382823495908,-12.231635747912012,1,0,21.8507995605469,19.5853996276855,-58.43588500915189,-0.49193846898611404,-7.927380325520094,0.902775569736752
82,637005841123317888,137.05681283481223,20.51979433427344,-5.740350850313802,-13.36431558805141,1,0,20.1658000946045,19.6704998016357,-58.774375264219714,-0.09106986565160403,-9.119848577734421,0.7018754175062302
83,636728764193307520,137.6701313723042,19.961599347653333,-3.4274478202914667,-13.655280503623414,1,0,,,-58.9411501583603,-0.8752271263891795,-8.131439543009735,-1.4966542358173889
84,636964815595784320,138.27440254949292,21.015224838028633,-4.32321757250095,-12.594550637255832,1,0,19.2682991027832,18.9437007904053,-57.748032241458645,-0.7898285701053364,-7.649580385931649,-0.21973519393285354
85,637024876418491776,137.7446636161259,20.737221570629014,-5.417931784041842,-11.240365851995671,1,0,20.6704006195068,18.6292991638184,-58.247807635535764,-0.5205131167925966,-7.119896715341186,1.4835286126136418
86,636788103461546880,137.34837329658853,20.127873932278078,-3.5878799880942713,-11.806588302215378,1,0,21.698299407959,19.5403003692627,-58.96135169634675,-0.5308366133441611,-6.660236785764846,-0.3371849397937646
87,636795353366969344,137.54697629572956,20.19235085470579,-4.5511410818826725,-12.92943162830001,1,0,21.3089008331299,20.1189002990723,-58.80754173675723,-0.6543695790918944,-8.113092148233703,-0.1398127482178645
